Name,Score
amd ryzen 3 3300u,5705
amd ryzen 3 3300x,12602
amd ryzen 3 3350u,5759
amd ryzen 3 4100,11057
amd ryzen 3 4300g,9897
amd ryzen 3 4300ge,11231
amd ryzen 3 4300u,7389
amd ryzen 3 5300g,13039
amd ryzen 3 5300ge,12856
amd ryzen 3 5300u,9544
amd ryzen 3 5400u,11002
amd ryzen 3 5425u,11187
amd ryzen 3 7320c,8219
amd ryzen 3 7320u,8651
amd ryzen 3 7330u,10676
amd ryzen 3 7335u,12582
amd ryzen 3 7440u,12991
amd ryzen 3 8300g,14374
amd ryzen 3 8300ge,13771
amd ryzen 3 8440u,12805
amd ryzen 3 pro 1200,5609
amd ryzen 3 pro 1300,7187
amd ryzen 3 pro 210,13226
amd ryzen 3 pro 2100ge,4065
amd ryzen 3 pro 2200g,6667
amd ryzen 3 pro 2200ge,5931
amd ryzen 3 pro 2300u,5610
amd ryzen 3 pro 3200g,6496
amd ryzen 3 pro 3200ge,6807
amd ryzen 3 pro 3300u,5874
amd ryzen 3 pro 4200g,10831
amd ryzen 3 pro 4200ge,10930
amd ryzen 3 pro 4350g,10937
